Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
ayam balado,100 g,207,3,10,23
dada ayam panggang atau goreng dilapisi kulit,100 g,261,9.48,13.27,24.47
daging paha ayam ayam pedaging dipanggang dimasak,100 g,209,0,10.88,25.94
ayam kulit tidak dimakan,100 g,188,0,7.35,28.69
paha ayam kulit tidak dimakan,100 g,207,0,10.79,25.72
ayam woku,100 g,117,0.68,5.14,16.11
ayam kuning,100 g,140,0,5,26
dada ayam masak,100 g,110,0,1.24,23.09
chicken karage,100 g,240,21,11,13
chicken breast original recipe,100 g,220.86,6.75,12.88,20.86
daging dada ayam ayam pedaging,100 g,110,0,1.24,23.09
ayam potong berbumbu,100 g,166.67,12.67,6,16
ampela,100 g,145,0,2.66,30.14
sayap ayam kulit tidak dimakan,100 g,201,0,8.06,30.21
leher ayam,100 g,297,0,26.24,14.07
hati ayam,100 g,116,0,4.83,16.92
ayam goreng tanpa pelapis kulit dimakan,100 g,260,0,15.35,28.62
daging dada dan kulit ayam ayam pedaging,100 g,172,0,9.25,20.85
ayam lada hitam,100 g,177,4.25,8.34,20.49
burger daging ayam,100 g,260,24,13,12
dada ayam panggang oven bebas lemak iris,100 g,79,2.17,0.39,16.79
ayam cincang buncis,100 g,144,19.23,3.69,9.23
daging dan kulit ayam panggang,100 g,216,0,15.85,17.14
bakpao ayam,100 g,239,41.9,2.61,12.46
nasi ayam hainan,100 g,200,24,8,10
chicken yakiniku,100 g,300,15,10,37.5
ceker,100 g,215,0.2,14.6,19.4
chicken katsu,100 g,200,13,10,15
hati ayam goreng,100 g,172,1.11,6.43,25.78
ayam goreng mcd spicy,100 g,273,9.9,16.8,19
nugget chicken stick,100 g,269.23,19.23,13.46,17.31
ayam bakar kulit tidak dimakan,100 g,188,0,7.35,28.69
chicken drumstick original recipe,100 g,235.29,5.88,13.73,21.57
rolade ayam,100 g,132.53,7.23,6.02,14.46
daging burung dara,100 g,142,0,7.5,17.5
french blackpepper bento,100 g,162.07,22.07,4.14,8.97
minyak ayam,100 g,900,0,99.8,0
ayam bakar,100 g,372,7.14,30.95,17.57
kwetiau goreng,100 g,210,26,9,7
hot chicken flavor ramen x spicy,100 g,428.57,60.71,12.14,9.29
fire chicken,100 g,271.43,15.54,13.04,23.21
nasi jeruk ayam bakar,100 g,821.67,116.67,20,46.67
kulit ayam,100 g,454,0,40.68,20.36
usus ayam goreng,100 g,345,19.84,21.69,17.78
paha ayam panggang,100 g,245,0,15.36,24.85
ayam atau kalkun manis dan asam,100 g,89,11.23,2.43,6.09
ayam kukus jahe,100 g,193,2.1,10.06,22.12
sosis ayam,100 g,213.33,20,10.67,9.33
ayam panggang,100 g,237,0,13.49,27.07
kornet daging ayam,100 g,140,10,7,10
daging ayam panggang,100 g,111,0,2.7,20.33
usus ayam,100 g,94,0,2.06,17.66
daging paha ayam ayam pedaging,100 g,119,0,3.91,19.65
kaldu ayam,100 g,453.33,66.67,16,8
daging sapi,100 g,288,0,19.54,26.33
daging sapi tanpa lemak,100 g,137,0,5,21.41
rendang,100 g,195,4.49,11.07,19.68
gulai daging sapi,100 g,109,3.02,4.63,13.2
daging sapi panggang,100 g,267,0,17.32,25.91
sapi iris mercon,100 g,386.25,3.75,25,35
sumsum sapi,100 g,786,0,84.4,6.7
koyor sapi,100 g,146,0,0.62,34.6
lemak sapi,100 g,902,0,100,0
steak daging sapi,100 g,252,0,15.01,27.29
babat sapi,100 g,94,1.99,4.05,11.71
daging sapi giling,100 g,276,0,18.58,25.35
sapi ala jepang,100 g,255.56,6.67,16.67,17.78
