Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
bulgarian style yogurt blueberry,100 ml,82.5,14,2,2
plain yogurt low fat,100 ml,87.5,15,0.62,5
yogurt stick blueberry,100 g,112.5,17.5,3.75,2.5
yogurt drink lychee,100 ml,83.33,15.42,0.83,2.5
peach yoghurt,100 g,100,16.25,1.88,5
tummy yogurt drink blueberry redbeet,100 ml,88.89,17.78,1.39,1.67
yogurt strawberry flavor,100 ml,87.5,16.25,0.62,5
banana yogurt,100 g,83,17.3,0.6,2.1
yogurt drink blueberry,100 ml,64,15.2,0,0.8
yoghurt,100 ml,85.71,15.71,1.43,2.86
yogurt rasa aprikot,100 ml,100,20,0,4
natural plain skim yoghurt,100 g,56,8,0,5.6
yoghurt buah rendah lemak gr protein per gr,100 g,105.78,18.76,1.42,4.9
strawberry yogurt g,100 g,14000,2300,400,400
bulgarian style yogurt blueberry botol,100 ml,80,13.6,2,2.4
yo junior yogurt,100 ml,80,14,1.75,1.5
coffee cream,100 ml,80,15,1.5,1.5
apricot yogurt,100 ml,80,8,3.5,5
choco nut crunch yoghurt,100 g,120,13,6,3
oats multi grains yogurt bar berries,100 g,520,64,24,4
cherry yogurt,100 ml,90,15,0.5,5
set yogurt plain rendah lemak,100 ml,70,10,1,5
tummy yogurt coconut almond with coconut slices,100 g,112.5,21.25,1.88,3.75
mango yogurt drink,100 ml,76,12.4,2.4,2
creamix thick yogurt blueberry,100 g,90.91,13.64,3.18,2.73
yogurt stick strawberry,100 g,112.5,17.5,3.75,5
creamy yogurt series honey granola,100 g,133.33,16.67,5.56,3.33
greek style yogurt with strawberry,100 g,170,18,9,5
blueberry yoghurt,100 g,8000,1300,100,400
greek yogurt plain,100 g,140,8,8,6
yogurt polos tanpa lemak,100 g,56,7.68,0.18,5.73
set yogurt plain,100 ml,70,10,1,5
yoguruto blackcurrant ml,100 ml,45,8.5,1,2
yogurt blueberry,100 ml,100,16.25,0.62,6.25
mango yogurt,100 g,90.91,14.55,2.73,2.73
mixed berry yogurt,100 g,109.09,17.27,3.18,2.73
natural plain yoghurt,100 g,100,10,4,5
yofit probiotic,100 ml,61.11,8.33,0,5
mango fruits yogurt,100 g,92,17.2,1.5,2.2
yoguruto less sugar passionfruit,100 ml,40,9.6,0,0.8
greek style yoghurt,100 ml,100,14,2,5
greek yogurt blueberry,100 g,125,12.5,6.25,6.25
tummy yogurt stirred original,100 g,112.5,21.25,1.88,3.75
delicyo strawberry banana,100 ml,48,9.6,0.4,0.8
blueberry redbeet,100 ml,100,18,2,2
yogurt rasa mangga,100 ml,110,21,1.5,4
yoghurt plain,100 ml,96,14.4,3.2,2.8
tummy yogurt lemon,100 g,64,10.4,1.2,3.2
greek yoghurt original,100 g,140,17,4,7
fat yogurt strawberry,100 g,40.8,6.08,0.08,3.2
greek yogurt strawberry,100 g,160,16,8,6
probiotic drink,100 ml,76.92,16.92,0,1.54
original,100 ml,65,14.5,0,1
greek style yogurt,100 ml,88,12,3.2,3.2
yogurt polos rendah lemak,100 g,63,7.04,1.55,5.25
yogurt beku,100 g,107,19.62,1.47,4.7
roti isi coklat,100 g,280,40,10,5
roti tawar,100 g,270.27,47.3,4.05,8.11
roti isi krim coklat,100 g,350,53.33,11.67,6.67
roti isi keju,100 g,307.69,46.15,10.77,9.23
roti isi krim coklat g,100 g,360,48,16,8
roti isi krim susu,100 g,293.1,50,6.9,6.9
roti sobek coklat,100 g,327.1,53.27,9.35,7.48
roti isi selai stroberi,100 g,291.67,59.72,4.17,5.56
roti isi cokelat,100 g,220,32,8,4
roti isi srikaya,100 g,310.34,53.45,7.76,6.9
roti abon ayam mayo pedas,100 g,333.33,46.67,11.67,10
roti mini isi krim keju,100 g,350,42.5,15,7.5
roti kacang,100 g,217,42.4,2.17,6.28
roti sandwich isi coklat,100 g,285.71,45.24,8.33,7.14
roti isi krim meses,100 g,375,52.5,15,7.5
roti o,100 g,430,49,23,6
roti isi selai cokelat,100 g,340,56,12,8
roti sisir mentega,100 g,345.45,45.45,16.36,7.27
roti isi coklat keju,100 g,339.62,49.06,11.32,7.55
roti multigrain,100 g,251,46.4,3.8,10
roti goreng,100 g,320,47.69,11.36,7.18
roti manis pandan srikaya,100 g,316.67,55,6.67,6.67
roti tawar gandum,100 g,271.43,47.14,5,8.57
roti manis kasur coklat,100 g,264.44,53.33,5.56,8.89
sausage bun,100 g,368,40,10,16
roti isi chicken teriyaki,100 g,277.78,47.22,6.94,9.72
roti manis kasur,100 g,325,55,8.75,8.75
bagelen cheese,100 g,500,60,25,10
roti tawar kupas,100 g,250,42.5,5,7.5
selai srikaya,100 g,350,45,17.5,5
roti sandwich,100 g,288.89,55.56,3.33,8.89
roti burger,100 g,300,50,8,10
roti,100 g,371.43,60,7.14,8.57
cheese danish bread,100 g,320,54,7,8
roti panggang mix fruit,100 g,323.08,60,6.15,6.15
roti panggang rasa durian,100 g,369.23,52.31,15.38,7.69
roti kasur susu,100 g,314.81,53.7,7.41,9.26
roti panggang rasa coklat,100 g,375,52.5,12.5,12.5
roti sobek coklat keju,100 g,327.1,47.66,11.21,8.41
roti isi daging ayam,100 g,280,45.33,6.67,9.33
bagelen,100 g,500,70,20,10
roti isi krim rasa blueberry,100 g,340,58,8,8
roti coklat keju,100 g,157.5,23.5,6.38,5.75
sandwich margarin manis,100 g,375,42.5,20,5
roti isi selai nanas,100 g,342.86,60,7.14,8.57
focaccia,100 g,292,40.64,11.11,6.89
banh mi,100 g,200,29,7,13
roti sandwich funwari cokelat pisang,100 g,285.71,45.05,8.79,6.59
roti panggang rasa susu vanila,100 g,631.58,52.63,15.79,7.89
roti kasur coklat keju,100 g,333.33,50,13.33,7.78
roti krim keju,100 g,333.33,51.67,11.67,5
roti manis kasur kombinasi,100 g,333.33,53.33,8.89,8.89
krim moka,100 g,303.03,45.45,10.61,7.58
roti stik abon ayam,100 g,342.86,52.86,11.43,10
roti abon,100 g,430,40,24,11
roti panggang coklat,100 g,323.08,60,6.15,6.15
boti isi margarin meses,100 g,357.14,50,14.29,7.14
multigrain bread,100 g,300,47.5,7.5,10
klasik pan pandan,100 g,275,57.5,1.25,10
dorayaki custard coklat,100 g,309.09,58.18,6.36,7.27
croiss with cocoa cream,100 g,400,53.33,20,6.67
butter croissant,100 g,403.23,41.94,22.58,8.06
roti sandwich rasa pandan isi sarikaya,100 g,265.31,46.94,6.12,6.12
roti sandwich isi spicy crab mayo,100 g,211.54,36.54,4.81,5.77
roti tawar pandan kupas,100 g,340.91,59.09,5.68,11.36
sobek keju,100 g,333.33,55,10,8.33
roti sandwich funwari coklat stroberi,100 g,263.74,47.25,5.49,5.49
roti sandwich isi keju,100 g,285.71,38.1,11.9,7.14
roti sandwich funwari mangga cheesecake,100 g,274.73,46.15,7.69,6.59
roti isi krim vanilla,100 g,380,48,16,8
sandwich gandum cokelat hazelnut,100 g,325,45,12.5,7.5
roti sandwich isi tuna mayo spicy,100 g,211.54,34.62,5.77,7.69
kue bolu,100 g,297,57.7,4.3,7.3
kue coklat dengan campuran coklat,100 g,367,54.6,16.4,4.1
tart,100 g,278,41.55,11.35,3.05
kue beras,100 g,224,48.69,0.77,4.64
kue bolu coklat,100 g,297,54.68,6.05,8.25
marble cake,100 g,339,61.38,10.89,3.94
lapis legit,100 g,415,25.26,33.65,5.11
gold cake double chocolate,100 g,318.18,36.36,15.91,4.55
kue tambang,100 g,462,54.34,24.13,7.08
bolu tape,100 g,324,49.69,11.43,5.01
kue pia rasa pandan,100 g,360,68,12,8
cream cake strawberry,100 g,450,50,25,0
graker richberry cheese,100 g,450,70,17.5,5
cream cake brownis isi krim strawberry,100 g,400,60,15,0
kuriimu,100 g,368.42,52.63,15.79,5.26
chocolate coated wafer,100 g,500,66.67,25,8.33
srikaya ketan,100 g,264,49.07,6.49,2.88
marshmallow,100 g,416.67,83.33,8.33,0
awug,100 g,90,18.17,0.89,1.12
koya suuk,100 g,460,62,17,14
bingka,100 g,272,39.32,10.68,5.2
tiramisu,100 g,283,24.41,18.2,4.77
caramelrama,100 g,500,70,25,0
chocolate strawberry layer cake,100 g,400,43.75,21.88,6.25
mug cake cokelat,100 g,357.14,50,14.29,2.38
bolu kukus,100 g,297,56.85,4.57,7.01
japanese cheese cake,100 g,303.03,30.3,15.15,9.09
fresh cream dorayaki,100 g,323.94,40.85,14.08,5.63
red velvet cake,100 g,488.64,53.41,29.55,4.55
steam cake strawberry flavor,100 g,375,53.75,15,5
kue mangkok dengan campuran rendah lemak,100 g,305,67.2,3.7,4.3
new york cheesecake,100 g,388.43,30,27.02,6.2
nextar,100 g,450,70,20,0
toast slices,100 g,540,56,30,8
nastar,100 g,433.33,63.33,20,3.33
fluffy cream roll,100 g,316.46,30.38,18.99,6.33
yangko,100 g,256,58.04,1.1,3.08
kaliadrem,100 g,338,54.28,12.03,3.35
lapis bogor full talas,100 g,360,40,18,6
lapis bogor blackforest,100 g,420,44,24,6
chocolate butter cookies,100 g,550,58.33,31.67,6.67
kue bikang,100 g,188,38.34,2.85,2.13
kue cincin,100 g,434,64.47,18.22,3.33
bolu susu lembang rasa coklat,100 g,380,42,20,6
bakpia kukus original cokelat,100 g,400,44,22,6
kue lapis kukus rasa blackforest,100 g,380,42,22,6
mooncake kacang hijau,100 g,400,65,13.33,5
kue ku,100 g,357,75.79,2.3,6.67
kue gambang,100 g,390,68,10,6
kue keju,100 g,321,25.5,22.5,5.5
wajik,100 g,304,68.43,1.36,3.98
kue coklat keju,100 g,389,38.44,24.75,6.6
chokoreto cookies,100 g,520,64,24,4
nextar brownies,100 g,450,70,20,0
kacang tanah,100 g,567,16.13,49.24,25.8
kacang panggang,100 g,151,21.39,5.15,5.54
kacang panjang hijau dimasak dari segar,100 g,59,7.61,3.1,1.82
kacang rebus,100 g,318,21.26,22.01,13.5
kacang bawang jumbo,100 g,640,16,52,24
kacang garing,100 g,600,16,48,32
kacang polong,100 g,42,7.55,0.2,2.8
kacang kapri,100 g,98,17.59,0.44,6.64
kacang atom,100 g,555.56,50,33.33,11.11
kacang koro,100 g,45,56,16,20
kacang mete,100 g,581,30.16,47.77,16.84
rosta kacang panggang,100 g,433.33,53.33,16.67,16.67
kacang kriuk,100 g,615,433,30,14
kacang tolo,100 g,114,20.67,0.58,7.38
kacang bumbu,100 g,530,39,30,24
kacang kedelai,100 g,471,33.55,25.4,35.22
ultra sari kacang ijo,100 ml,44,10.4,0,0.8
permen ting ting,100 g,600,40,40,20
sukro kedele,100 g,500,50,28.57,14.29
teri kacang balado,100 g,260,32.08,11.08,10.77
kacang koro rasa rumput laut,100 g,444.44,66.67,13.89,16.67
red kidney beans,100 g,80,13,0.5,5
cashew butter,100 g,562.5,31.25,46.88,15.62
pilus mie goreng,100 g,500,64.29,28.57,0
kuaci fuzo original,100 g,615.38,15.38,46.15,30.77
unsweetened crunchy peanut butter,100 g,566.67,40,33.33,23.33
peanut cream messes,100 g,425,57.5,17.5,5
kacang polong polong,100 g,42,7.55,0.2,2.8
sohun,100 g,351,86.09,0.06,0.16
kacang komak,100 g,344,60.76,1.69,23.9
cashew honey butter flavor,100 g,560,48,36,12
bean soup mix,100 g,363.64,65.45,1.82,21.82
kacang panjang hijau,100 g,31,7.13,0.12,1.82
kacang hitam biji matang dengan garam dimasak direbus,100 g,132,23.71,0.54,8.86
chocolate peanut,100 g,583.33,45.83,37.5,12.5
kedelai biji matang dengan garam dimasak direbus,100 g,173,9.93,8.97,16.64
sukro original,100 g,400,65,22.5,5
sandwich kacang,100 g,346.94,40.82,14.29,12.24
daun kecipir,100 g,74,14.1,1.1,5.85
selai kacang halus lemak yang telah dikurangi,100 g,520,35.65,34,25.9
kacang atom pedas,100 g,500,60,26.67,6.67
mix nut,100 g,566.67,33.33,40,23.33
selai kacang,100 g,600,40,35,20
baked beans,100 g,90,20,0.5,1
bubur kacang hijau,100 g,108,17.76,3.06,3.54
kacang garbanzo,100 g,180,29.98,2.99,9.54
kacang hijau,100 g,81,14.46,0.4,5.42
kacang jepang spicy flavor,100 g,520,44,32,12
buncis,100 g,31,7.13,0.12,1.82
kedelai dimasak lemak tidak ditambahkan dalam masakan,100 g,172,9.87,8.92,16.54
kacang merah dengan garam dimasak direbus,100 g,127,22.8,0.5,8.67
kacang koro kupas,100 g,435,47.9,14.78,27.61
kedelai matang tanpa garam dimasak direbus,100 g,173,9.93,8.97,16.64
kacang medan,100 g,560,43,34,19
kacang koro broad beans,100 g,500,57.14,14.29,21.43
kacang kemiri,100 g,691,13.86,71.97,9.17
sari roti sandwich kacang,100 g,346.94,42.86,14.29,12.24
funwari roll kacang merah mentega,100 g,328.36,49.25,10.45,5.97
mix nuts aneka kacang,100 g,500,33.33,40,23.33
bumbu pecel,100 g,440,46,20,18
sukro kacang bersalut bbq,100 g,444.44,66.67,19.44,5.56
selai kacang mete original,100 g,646.67,32,56.67,33.33
kacang panggang boston,100 g,155,22.04,5.06,6.04
natto,100 g,212,14.36,11,17.72
kedelai biji dewasa dikukus dimasak,100 g,81,6.53,4.45,8.47
edamame deluxe original,100 g,100,8,4,10
kacang koro pedas,100 g,500,71.43,21.43,21.43
kacang hitam,100 g,91,16.56,0.29,6.03
kacang arab,100 g,364,60.65,6.04,19.3
kacang koro kulit,100 g,125,13,6,5
crunchy peanut butter,100 g,566.67,33.33,40,23.33
sukro kacang bersalut original,100 g,520,64,24,8
kacang kulit,100 g,600,16,48,32
kacang mede asin,100 g,625,27.5,47.5,20
kacang emas,100 g,491,60.26,24.6,7.15
sukro oven rasa bawang,100 g,545.45,54.55,31.82,18.18
kacang almond lapis madu,100 g,600,24,48,24
sambal pedas,100 g,175,20,10,5
sambal terasi uleg,100 g,217.39,26.09,13.04,4.35
sambal rawit,100 g,125,15,7.5,5
sambal terasi,100 g,187.5,25,6.25,0
sambal terasi rebus,100 g,73,11.02,3.05,1.84
sambal bawang,100 g,312.5,25,18.75,0
sambal geprek,100 g,312.5,25,18.75,0
saus sambal,100 g,100,26.67,0,0
sambal korek,100 g,225,32.5,11.25,2.5
sambal cumi,100 g,125,4.33,6.02,12.89
sambal roa,100 g,87,2.5,3.15,10.5
sambel pecel,100 g,440,46,20,18
sambal rumahan balado merah,100 g,230.77,23.08,15.38,0
sambal pecel pedas,100 g,1250,90,80,40
sambal pedas dahsyat,100 g,208.33,41.67,0,0
sambal bajak,100 g,250,25,12.5,0
sambal teri,100 g,375,37.5,18.75,12.5
sambal bangkok,100 g,230.77,61.54,0,0
sarden sambal balado,100 g,115.38,1.28,1.28,23.08
sambal ekstra pedas,100 ml,100,26.67,0,0
sarden dalam sambal bangkok,100 g,116.67,10,3.33,13.33
sambal kecombrang,100 g,375,12.5,37.5,0
sarden sambal hijau,100 g,116.67,1.67,4.17,18.33
homestyle sambal terasi,100 g,277.78,44.44,8.33,5.56
sambal asli abc,100 g,100,26.67,0,0
bakmi sambal matah,100 g,402.88,43.88,20.14,12.23
sambal rawit bawang,100 g,300,20,20,0
sambal gado gado,100 g,200,26.67,6.67,6.67
bumbu racik nasi goreng sambal matah,100 g,200,40,0,0
sambal balado,100 g,200,20,10,0
choco pillow,100 g,450,70,15,10
sambal goreng kentang,100 g,102,10.15,3.02,8.72
sambal pedas manis,100 g,166.67,41.67,0,0
sambal tabur,100 g,333.33,33.33,0,0
sambal nusantara rendang,100 g,250,38.89,8.33,5.56
cabai tabur jambal,100 g,333.33,33.33,0,33.33
saus sambal ekstra pedas,100 ml,133.33,33.33,0,0
sambal pedas uleg,100 g,175,20,10,5
sambal pedas indofood,100 g,111.11,33.33,0,0
sambal kemiri,100 g,225,15,17.5,5
sambal uleg kemiri,100 g,225,15,17.5,5
bumbu nasi goreng rasa sambal matah,100 g,333.33,33.33,0,0
soya bean sauce with chillies sambal kecap,100 g,600,78.57,28.57,7.14
sambal ijo uleg,100 g,225,20,15,5
sambal goreng ati,100 g,250,35.71,10.71,7.14
sambal fried chicken,100 g,0,12.5,0,0
sambal nusantara teri,100 g,194.44,33.33,5.56,5.56
sambal nusantara geprek,100 g,138.89,16.67,8.33,5.56
sambal nusantara hijau,100 g,138.89,22.22,5.56,0
piattos sambal geprek,100 g,533.33,66.67,23.33,6.67
sambal extreme pedas,100 ml,133.33,33.33,0,0
sambal nusantara terasi khas jawa barat,100 g,250,38.89,8.33,5.56
sambal bawang pedas,100 ml,125,25,0,0
sambal extra pedas,100 g,133.33,26.67,0,0
mie sambal goreng,100 g,465.91,63.64,18.18,10.23
oatmeal,100 g,416.67,63.89,13.89,11.11
oatmeal muesli,100 g,450,72.5,12.5,7.5
sambal rendang,100 g,250,37.5,12.5,0
sambal terasi ala sunda,100 g,200,30,10,0
sambal matah grilled chicken,100 g,1411.43,111.43,110.57,100.86
kerupuk rasa bawang,100 g,250,85,0,0
krupuk bawang,100 g,266.67,3.33,23.33,10
kerupuk goreng pasir,100 g,357,83.52,1.78,1.46
kerupuk ikan,100 g,520,64,28,4
kerupuk seblak,100 g,561,54,36,6
kerupuk mie kuning,100 g,475,69.73,20.77,0.49
kerupuk kulit sapi,100 g,350,0.02,4.19,80.12
opak,100 g,365,74.9,3.63,5.95
kerupuk ikan sanggul,100 g,520,64,28,4
kerupuk koin pedas,100 g,460,19,20,9
kerupuk kemplang panggang,100 g,700,160,0,20
kerupuk udang goreng,100 g,500,70,20,0
kerupuk keriting,100 g,350,85,0,0
emping melinjo,100 g,350,69.79,1.49,12.11
lanting getuk,100 g,425,80.07,10.06,0.8
rice crackers mixed berries,100 g,375,90,0,5
lemon crackers sandwich,100 g,473.68,68.42,21.05,7.89
peyek kacang,100 g,486,57.12,26.37,6.33
snack red,100 g,450,80,12.5,10
peanut butter sandwich,100 g,500,63.33,23.33,10
egg roll,100 g,400,80,7.5,10
popped rice crackers sea salt,100 g,400,80,0,8.57
malkist cappuccino,100 g,500,66.67,22.22,5.56
kerupuk udang rasa barbeque,100 g,466.67,66.67,23.33,0
malkist kornet,100 g,444.44,72.22,13.89,11.11
oat krunch chunky hazelnut,100 g,500,65.38,23.08,7.69
siip bite roasted corn,100 g,500,50,37.5,0
stik tenggiri,100 g,475,60,20,15
siip net,100 g,600,50,40,10
kremesan,100 g,475,62.63,24.48,1.5
peanut crackers,100 g,520,64,24,8
flying fish biscuits,100 g,466.67,70,16.67,6.67
sugar crackers,100 g,466.67,66.67,20,10
pang pang jagung bakar,100 g,447,71.27,16.45,3.36
milkies,100 g,565.22,56.52,30.43,8.7
kerupuk keju,100 g,600,50,45,5
milk chocolate,100 g,440,80,8,8
lemon cream crown biscuit,100 g,500,66.67,23.33,10
malkist cokelat kelapa,100 g,526.32,57.89,26.32,10.53
lovely cream sandwich lemon,100 g,480,64,24,8
cheese flavoured rings,100 g,500,65,25,5
chicken flavoured crackers,100 g,500,66.67,23.33,3.33
siip chicken flavour,100 g,500,50,37.5,0
superco,100 g,500,50,11.11,5.56
biskies,100 g,526.32,63.16,28.95,5.26
lemonia,100 g,500,65,25,5
plain crackers with sesame,100 g,438.46,70.77,11.92,11.92
biskies chocolate,100 g,500,55,25,5
amplang,100 g,506,57.14,27.19,8.07
kerupuk udang rasa rumput laut,100 g,500,70,25,0
hokkaido milk,100 g,440,80,8,8
plain crackers,100 g,461.54,73.08,13.46,11.54
malkist crackers,100 g,444.44,72.22,16.67,11.11
cream crackers,100 g,483.87,64.52,22.58,9.68
kerupuk kulit kerbau,100 g,422,0,4,83
fugu friends,100 g,450,70,20,10
tater thins potato snack truffle flavor,100 g,550,60,30,5
onion chicken,100 g,400,80,8,8
klik crackers,100 g,500,66.67,25,8.33
cream wafers strawberry,100 g,480,72,20,4
popped rice crackers roasted corn,100 g,400,80,8,8
malkist tabur keju,100 g,470.59,58.82,20.59,11.76
madeleine crackers,100 g,554.55,54.55,36.36,9.09
basreng pedas,100 g,526,55.22,31.02,6.36
vege biscuit,100 g,500,63.33,23.33,10
pepper crackers,100 g,500,63.33,20,10
klapis,100 g,500,66.67,27.78,5.56
choco sourdough cracker,100 g,488,64,20,8
crispy crackers,100 g,500,71.43,17.86,7.14
malkist sweet crackers,100 g,476.19,71.43,16.67,9.52
popped rice crackers umami seaweed,100 g,400,80,8,8
makaroni ulir pedas,100 g,493,69.6,23.39,1.06
biskies vanilla,100 g,500,61.11,27.78,5.56
vege crackers,100 g,466.67,66.67,20,6.67
original sourdough cracker,100 g,488,64,20,12
cizzring,100 g,470.59,76.47,17.65,0
biskuit kelapa kopyor,100 g,500,75,20,5
trenz,100 g,500,70,20,0
dimsum goreng keju,100 g,280,15.04,18.01,14.06
sukun goreng,100 g,223,30.64,12.29,1.21
jukut goreng,100 g,181,16.14,12.16,2.63
getuk goreng,100 g,359,74.06,6.68,1.31
ikan mas goreng,100 g,117,0.17,4.39,18.16
tape goreng,100 g,217,40,5.31,2.04
ikan pindang goreng,100 g,189,0.71,10,23.09
pangsit goreng,100 g,433.33,32.41,29.26,9.63
ikan layang goreng,100 g,220,0.61,13.19,24.01
teh gelas,100 g,4500,1100,0,0
mi goreng kriuk pedas,100 g,444.44,66.67,15.56,10
mi goreng spesial,100 g,487.5,66.25,22.5,7.5
ikan belanak goreng,100 g,169,2.51,9.2,18
kentang goreng french fries,100 g,450,80,15,0
mie goreng rasa bulgogi,100 g,455.56,68.89,15.56,7.78
potongan daging babi goreng,100 g,279,0,18.5,26.41
sambal matah,100 g,482.35,60,23.53,9.41
minyak goreng,100 ml,818.18,0,90.91,0
ayam goreng bawang putih,100 g,276,5.04,18.06,23.02
indomie goreng,100 g,447.06,63.53,16.47,9.41
kentang goreng,100 g,180,31,4.5,4
kentang goreng buatan rumah,100 g,185,23.39,9.64,2.17
bawang merah goreng,100 g,500,50,30,10
mi goreng ayam geprek,100 g,482.35,57.65,23.53,10.59
mi goreng aceh,100 g,477.78,61.11,21.11,10
mie goreng sedaaap,100 g,444.44,67.78,14.44,11.11
mie goreng spesial,100 g,475,56.25,25,7.5
fit active,100 ml,27.27,6.36,0,0.3
bumbu nasi goreng rendang,100 g,375,75,0,0
tango wafer,100 g,500,70,20,10
goreng pedes gledek,100 g,493.33,60,24,8
extra pedas goreng jalapeno,100 g,447.06,63.53,16.47,9.41
kol goreng,100 g,90,10.62,4.72,2.76
bumbu racik tempe goreng,100 g,250,50,0,0
mie goreng rasa rendang,100 g,461.54,59.34,20.88,9.89
sarden goreng dalam sambal balado,100 g,183.33,5,11.67,13.33
bihunku goreng,100 g,383.33,78.33,6.67,3.33
goreng special,100 g,383.33,78.33,6.67,3.33
mi goreng rasa sambal matah,100 g,482.35,60,23.53,9.41
toge goreng,100 g,94,14.22,2.8,5.25
mi goreng rasa iga penyet,100 g,437.5,65,16.25,10
spix mi goreng,100 g,533.33,60,26.67,6.67
soto betawi,100 g,135,11.44,8.85,4.05
bumbu soto ayam,100 g,200,20,10,10
soto bandung,100 g,42,2.51,1.71,4.48
soto padang,100 g,126.99,11.09,6.69,5.86
rasa soto ayam,100 g,467.53,58.44,20.78,10.39
lemonilo soto koya,100 g,366.67,68.33,5,11.67
tongseng khas solo,100 g,269.23,38.46,11.54,0
mi rebus soto,100 g,57.14,8.57,1.43,0
mie gaga extra pedas kuah soto,100 g,440,60,17.33,12
indomie soto koya pedas dower,100 g,460.53,60.53,19.74,9.21
soto spesial,100 g,440,58.67,18.67,9.33
rasa soto ayam dengan nasi,100 g,466.67,64,20,9.33
soto koya nagih,100 g,460.53,60.53,19.74,10.53
racik bumbu spesial soto ayam,100 g,222.22,22.22,11.11,11.11
rawon,100 g,119,3.48,7.4,9.6
bumbu nasi goreng soto,100 g,250,50,0,0
nasi goreng soto,100 g,250,50,0,0
mie instan kuah rasa soto koya,100 g,366.67,68.33,5,11.67
vegan noodle rasa soto,100 g,458.82,60,20,8.24
sarimi isi rasa soto,100 g,407.08,54.87,17.7,7.96
sarimi gelas rasa soto ayam,100 g,466.67,53.33,23.33,10
fitmee rasa soto,100 g,65.22,10.87,2.17,0
super bubur dengan kuah soto,100 g,413.04,76.09,8.7,8.7
pake nasi rasa soto ayam,100 g,466.67,64,20,9.33
mi instan konyaku rasa soto,100 g,65.22,10.87,2.17,0
mie sedaap cup soto,100 g,480.52,55.84,24.68,11.69
mie sukses isi rasa soto,100 g,450.45,63.06,16.22,11.71
pop mie mini rasa soto mie,100 g,435.9,56.41,20.51,7.69
mie rasa soto koya pedas dower,100 g,460.53,60.53,19.74,9.21
jiwa pagi rasa soto,100 g,369.23,63.08,6.15,15.38
rasa soto madura,100 g,463.41,59.76,19.51,10.98
baked soto,100 g,381.58,72.37,5.92,9.21
bihunku seduh rasa soto ayam,100 g,333.33,79.17,0,0
oatmeal rasa soto ayam,100 g,392.86,64.29,7.14,14.29
rasa soto padang,100 g,440,58.67,18.67,10.67
soto banjar limau kuit,100 g,453.33,60,18.67,9.33
mie rasa soto lamongan,100 g,450,60,17.5,12.5
bihun rasa soto ayam,100 g,363.64,9.09,0,0
soto daging,100 g,200,20,5,10
soto medan,100 g,442.86,60,17.14,10
bumbu praktis soto ayam,100 g,125,25,0,0
nasindo rasa soto,100 g,107.69,21.54,1.54,1.54
supermi extra rasa soto daging,100 g,440,65,15,9
mie gelas rasa soto ayam,100 g,480,60,24,12
mi coto makassar,100 g,440,61.33,17.33,10.67
mi instan rasa soto mi,100 g,453.33,62.67,18.67,9.33
mi instan kuah rasa soto,100 g,362.5,56.25,10,11.25
sate padang,100 g,161,6.79,6.63,18.01
beef broccoli fried rice,100 g,223.33,21.67,10,10.83
ayam spesial jamur,100 g,162,15,2,20
lemon pepper chicken,100 g,113.33,0.83,0.83,23.33
kurma khalas,100 g,325,76,0.4,4.4
hongkong soya chicken,100 g,144.17,3.33,3.33,23.33
ayam kungpao,100 g,297.78,15.56,13.33,25.56
thai basil chicken,100 g,186.67,7.78,4.44,26.67
ayam krim italia,100 g,133.33,5.56,5.56,15.56
ceciwis jamur,100 g,68,13,1,3
mooyam steak,100 g,140,4,4.67,20
kurma khenaizi,100 g,325,44,0.24,1.5
ayam ala jepang,100 g,122.22,5.56,3.33,17.78
ayam sambal matah,100 g,215.83,4.17,14.17,15.83
mooyam garlic,100 g,120,2,1.5,24
cumi cabe hijau,100 g,304,10,21,17
garlic lime rice,100 g,142.5,0,0,0
ayam kecombrang,100 g,202.5,2.5,7.5,28.75
kacang panjang sapi,100 g,107,11,5,4
truffle mushroom chicken,100 g,185,4,7,20
creamy miso udon,100 g,240,33,9,6
aglio olio pasta,100 g,132.5,6.67,11.67,0.83
honey garlic chicken bites,100 g,200,18.89,7.78,13.33
mooyam spicy,100 g,123.08,4.62,0.77,25.38
pakcoy tahu,100 g,60,5,1.5,5
mie goreng jawa,100 g,190.83,35,4.17,9.17
claypot egg tofu,100 g,125,10,7,6
sapi ala mongolia,100 g,395,5,26.25,35
stir fried tofu and mushroom,100 g,139,8,11,3
butter spam fried rice,100 g,162.5,0,0,0
italian pesto chicken,100 g,163,3,5,24
honey mustard chicken,100 g,148.33,0.83,5.83,23.33
kurma lulu,100 g,325,76,0.4,4.4
tini wini biti rasa sate ayam,100 g,500,66.67,20.83,8.33
kimchi fried rice,100 g,222,27,9,6
sake,100 ml,132,4.92,0,0.49
jeju choco late,100 ml,66.67,8.89,2.22,2.22
biskuit rasa sate,100 g,470.59,70.59,17.65,5.88
mooyam original,100 g,130.43,0,2.17,26.96
mooyam tomato chili,100 g,140,7.33,2.67,21.33
coffeemate,100 g,500,60,30,0
cajun butter chicken,100 g,145,0.83,4.17,23.33
dada ayam asap,100 g,130,0,2,27
mooyam meatballs,100 g,120,3,6,15
pentol,100 g,269,17.23,15.88,13.74
bakso kuah,100 g,134.62,4.81,3.85,20.19
bakso urat,100 g,123.08,12.31,3.85,12.31
bakso sapi kuah,100 g,158.33,10,7.5,11.67
