Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g),Kategori,is_seafood,is_peanut,is_dairy,protein_to_calorie_ratio,is_low_calorie,is_low_fat,is_low_carb,is_high_carb,is_high_protein,Kalori (kkal)_scaled,Karbohidrat (g)_scaled,Lemak (g)_scaled,Protein (g)_scaled,protein_to_calorie_ratio_scaled
Jeruk Kimkit,100 g,43,11.93,0.27,0.81,Buah,0,0,0,0.018837209,1,1,0,1,0,-1.683037745,-0.279393548,-1.437091409,-1.497409631,-0.76425275
Asam Jawa,100 g,239,62.5,0.6,2.8,Masakan,0,0,0,0.011715481,0,1,0,1,0,0.206324036,1.249367586,-1.244450064,-0.86893127,-1.051005323
Jambu Jamaika,100 g,48,9.99,0.66,1.78,Masakan,0,0,0,0.037083333,1,1,1,1,0,-1.591370096,-0.402088957,-1.213570835,-1.146296313,-0.150219643
Tumis Kangkung,100 g,98,3.99,8.71,2.56,Sayur,0,0,0,0.026122449,1,0,1,0,0,-0.907386696,-0.927919386,0.326771963,-0.928408819,-0.499778072
Kangkung,100 g,20,3.18,0.34,2.51,Sayur,0,0,0,0.1255,1,1,1,1,1,-2.233920254,-1.031442687,-1.392515352,-0.941191944,1.356195644
Brokoli,100 g,34,6.64,0.37,2.82,Sayur,0,0,0,0.082941176,1,1,1,1,1,-1.867691341,-0.658004907,-1.374090027,-0.864108495,0.848636502
Brokoli Sultan,100 g,100,11,5,2,Sayur,0,0,0,0.02,1,0,0,0,0,-0.885578897,-0.336391161,-0.104660044,-1.08045143,-0.720165191
Brokoli Tusuk Beku,100 g,29,5.35,0.34,3.06,Sayur,0,0,0,0.105517241,1,1,1,1,1,-1.984621639,-0.778967975,-1.392515352,-0.807719112,1.153141995
Wortel,100 g,41,9.58,0.24,0.93,Sayur,0,0,0,0.022682927,1,1,1,1,0,-1.721685166,-0.430025833,-1.456919736,-1.44696601,-0.621206167
Nasi Tim Ayam Tomat Wortel,100 g,400,76,8,12,Sayur,0,0,0,0.03,0,0,0,1,0,1.013237671,1.482512491,0.258128474,0.427518936,-0.369849143
Rasa Bakso Sapi,100 g,360,80,4,4,Lauk,0,0,0,0.011111111,0,0,0,1,0,0.837019509,1.545777731,-0.265747556,-0.609198585,-1.076725851
Sayur Tahu Toge,100 g,86,12.91,1.93,5.93,Sayur,0,0,0,0.068953488,1,1,0,1,1,-1.044937642,-0.222497903,-0.730749847,-0.279191415,0.607734691
Buah Naga,100 g,51,12.38,0.38,0.78,Buah,0,0,0,0.015294118,1,1,0,1,0,-1.539381651,-0.252888857,-1.368033991,-1.510427072,-0.903230696
Semangka Merah,100 g,30,7.55,0.15,0.61,Buah,0,0,0,0.020333333,1,1,1,1,0,-1.960232876,-0.581429962,-1.519285188,-1.587611754,-0.707662007
Buah Pir,100 g,58,15.46,0.12,0.38,Buah,0,0,0,0.006551724,1,1,0,1,0,-1.42552882,-0.087115853,-1.541115857,-1.702881605,-1.278205446
Nanas,100 g,48,12.63,0.12,0.54,Buah,0,0,0,0.01125,1,1,0,1,0,-1.591370096,-0.238445544,-1.541115857,-1.621252666,-1.07079513
Pisang,100 g,89,22.84,0.33,1.09,Buah,0,0,0,0.012247191,1,1,0,1,0,-1.009400232,0.233098366,-1.398744955,-1.383385044,-1.028562446
Mangga,100 g,65,17,0.27,0.51,Buah,0,0,0,0.007846154,1,1,0,1,0,-1.320501216,-0.012672016,-1.437091409,-1.636036501,-1.219641493
Super Fruit Mix,100 g,320,84,0,0,Masakan,0,0,0,0,0,1,0,1,0,0.647015797,1.606791215,-1.634431737,-1.931501751,-1.592191924
Tempe Chips Original,100 g,560,50,30,15,Snack,0,0,0,0.026785714,0,0,0,0,0,1.617978383,0.998389357,1.404484847,0.683026646,-0.477041052
Tempe Orek,100 g,175,15.6,8.2,13.11,Lauk,0,0,0,0.074914286,0,0,0,0,1,-0.220358796,-0.080142118,0.277974788,0.526953806,0.71602901
Tempe Mendoan,100 g,200,12.69,12.78,11.18,Lauk,0,0,0,0.0559,0,0,0,0,1,-0.042840854,-0.235008101,0.646139446,0.349714787,0.337205626
Tempe Balado,100 g,242,11.47,17.05,14.69,Lauk,0,0,0,0.060702479,0,0,0,0,1,0.224317627,-0.307196061,0.895692397,0.658451128,0.442442757
Oseng Buncis Tempe,100 g,210,32.3,6.45,7.94,Sayur,0,0,0,0.037809524,0,0,0,1,0,0.02397061,0.550403189,0.088227127,-0.004789964,-0.128922786
Tempe Penyet,100 g,198,12.84,11.43,15.68,Lauk,0,0,0,0.079191919,0,0,0,0,1,-0.056472143,-0.22646258,0.551576229,0.735659367,0.788493577
Keripik Tempe,100 g,534,58.41,31.92,5.15,Snack,0,0,0,0.009644195,0,0,0,0,0,1.528488761,1.17158695,1.461748675,-0.402661271,-1.140099473
Tempe Gembus,100 g,65,12.11,0.2,3.46,Lauk,0,0,0,0.053230769,1,1,0,1,1,-1.320501216,-0.268711708,-1.484084077,-0.719267943,0.275612404
Buncis Orek Tempe,100 g,211.11,12.22,13.33,8.89,Sayur,0,0,0,0.042110748,0,0,0,0,0,0.031253305,-0.262236771,0.68214356,0.108338463,-0.007156588
Tempe Rebus,100 g,196,9.35,11.38,18.19,Lauk,0,0,0,0.092806122,0,0,1,0,1,-0.070196622,-0.446047003,0.547888006,0.916500788,0.993075351
Krumpe,100 g,500,55,25,15,Masakan,0,0,0,0.03,0,0,0,0,0,1.406899323,1.103676444,1.237720912,0.683026646,-0.369849143
Keripik Tempe Rasa Tempe Orek,100 g,550,35,35,25,Snack,0,0,0,0.045454545,0,0,0,0,0,1.583898918,0.628580016,1.54724988,1.327921433,0.082545037
Tempeh Chips Spicy Balado,100 g,560,52,36,12,Snack,0,0,0,0.021428571,0,0,0,0,0,1.617978383,1.041375329,1.573508334,0.427518936,-0.666998859
Tempe Rasa Original,100 g,550,40,35,20,Lauk,0,0,0,0.036363636,0,0,0,0,0,1.583898918,0.762662245,1.54724988,1.035752511,-0.171542743
Tempe Chips Sour Cream,100 g,560,48,32,16,Snack,0,0,0,0.028571429,0,0,0,0,0,1.617978383,0.954148549,1.464064683,0.759849875,-0.416884534
Tempe Chips,100 g,266.47,33.88,11.53,8.76,Snack,0,0,0,0.032874245,0,0,0,0,0,0.365744341,0.596691492,0.558910267,0.09337301,-0.278061478
Tempe Himalayan Salt,100 g,600,46.67,40,13.33,Lauk,0,0,0,0.022216667,0,0,0,0,0,1.750319524,0.92398979,1.672164082,0.545931357,-0.638131829
Semur Telur,100 g,130,5.27,7.81,9.7,Lauk,0,0,0,0.074615385,0,0,1,0,1,-0.588833079,-0.787044057,0.238879541,0.198276327,0.710806035
Tofu Telur Ayam,100 g,85.71,2.86,4.29,10,Lauk,0,0,0,0.1166725,1,0,1,0,1,-1.04841671,-1.076422723,-0.216067957,0.230238998,1.273022734
